original,target,category,note
Body.PEPS.Plant.KeyFob.5.Paired,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.5.Paired,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.5.PlacedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.5.PlacedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.5.RssiResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.5.RssiResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.6.ChallengeResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.6.ChallengeResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.6.LastObservedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.6.LastObservedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.6.Paired,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.6.Paired,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.6.PlacedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.6.PlacedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.6.RssiResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.6.RssiResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.NfcCard.1.ChallengeResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.NfcCard.1.ChallengeResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.NfcCard.1.Position,Vehicle.Body.Bridge.Body.PEPS.Plant.NfcCard.1.Position,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.NfcCard.2.ChallengeResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.NfcCard.2.ChallengeResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.NfcCard.2.Position,Vehicle.Body.Bridge.Body.PEPS.Plant.NfcCard.2.Position,project-namespace,simulator-internal PEPS plant state
Body.Power.DelayedAccessory.IsActive,Vehicle.Body.Bridge.Body.Power.DelayedAccessory.IsActive,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.PowerChildLock.MasterStatus,Vehicle.Body.Bridge.Body.PowerChildLock.MasterStatus,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Sunroof.MoveCmd,Vehicle.Body.Bridge.Body.Sunroof.MoveCmd,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Sunroof.Position,Vehicle.Body.Bridge.Body.Sunroof.Position,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Sunroof.Shade.MoveCmd,Vehicle.Body.Bridge.Body.Sunroof.Shade.MoveCmd,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Sunroof.Shade.Position,Vehicle.Body.Bridge.Body.Sunroof.Shade.Position,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Switches.DoorTrim.Row1.Left.LockButton,Vehicle.Body.Bridge.Body.Switches.DoorTrim.Row1.Left.LockButton,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.DoorTrim.Row1.Left.UnlockButton,Vehicle.Body.Bridge.Body.Switches.DoorTrim.Row1.Left.UnlockButton,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.DoorTrim.Row1.Right.LockButton,Vehicle.Body.Bridge.Body.Switches.DoorTrim.Row1.Right.LockButton,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.DoorTrim.Row1.Right.UnlockButton,Vehicle.Body.Bridge.Body.Switches.DoorTrim.Row1.Right.UnlockButton,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.DoorTrim.Row2.Left.LockButton,Vehicle.Body.Bridge.Body.Switches.DoorTrim.Row2.Left.LockButton,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.DoorTrim.Row2.Right.LockButton,Vehicle.Body.Bridge.Body.Switches.DoorTrim.Row2.Right.LockButton,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Fog.Front.IsEngaged,Vehicle.Body.Bridge.Body.Switches.Fog.Front.IsEngaged,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Fog.Rear.IsEngaged,Vehicle.Body.Bridge.Body.Switches.Fog.Rear.IsEngaged,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Hazard.IsEngaged,Vehicle.Body.Bridge.Body.Switches.Hazard.IsEngaged,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.HighBeam.IsEngaged,Vehicle.Body.Bridge.Body.Switches.HighBeam.IsEngaged,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Hood.Release.IsPulled,Vehicle.Body.Bridge.Body.Switches.Hood.Release.IsPulled,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Horn.IsPressed,Vehicle.Body.Bridge.Body.Switches.Horn.IsPressed,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.IgnitionCylinder.Position,Vehicle.Body.Bridge.Body.Switches.IgnitionCylinder.Position,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.IgnitionCylinder.RemovalInhibited,Vehicle.Body.Bridge.Body.Switches.IgnitionCylinder.RemovalInhibited,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Keyfob.LockButton,Vehicle.Body.Bridge.Body.Switches.Keyfob.LockButton,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Mirror.Direction,Vehicle.Body.Bridge.Body.Switches.Mirror.Direction,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Mirror.Fold,Vehicle.Body.Bridge.Body.Switches.Mirror.Fold,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Mirror.Select,Vehicle.Body.Bridge.Body.Switches.Mirror.Select,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Panic.IsEngaged,Vehicle.Body.Bridge.Body.Switches.Panic.IsEngaged,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.PowerChildLock.IsPressed,Vehicle.Body.Bridge.Body.Switches.PowerChildLock.IsPressed,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.StartStop.BacklightDutyCycle,Vehicle.Body.Bridge.Body.Switches.StartStop.BacklightDutyCycle,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.StartStop.BacklightIntensity,Vehicle.Body.Bridge.Body.Switches.StartStop.BacklightIntensity,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.StartStop.IsPressed,Vehicle.Body.Bridge.Body.Switches.StartStop.IsPressed,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Sunroof.Detent,Vehicle.Body.Bridge.Body.Switches.Sunroof.Detent,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Trunk.Release.IsPressed,Vehicle.Body.Bridge.Body.Switches.Trunk.Release.IsPressed,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.TurnIndicator.Direction,Vehicle.Body.Bridge.Body.Switches.TurnIndicator.Direction,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Window.DriverMaster.Row1.Left.Detent,Vehicle.Body.Bridge.Body.Switches.Window.DriverMaster.Row1.Left.Detent,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Window.DriverMaster.Row1.Right.Detent,Vehicle.Body.Bridge.Body.Switches.Window.DriverMaster.Row1.Right.Detent,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Window.DriverMaster.Row2.Left.Detent,Vehicle.Body.Bridge.Body.Switches.Window.DriverMaster.Row2.Left.Detent,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Window.DriverMaster.Row2.Right.Detent,Vehicle.Body.Bridge.Body.Switches.Window.DriverMaster.Row2.Right.Detent,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Window.Local.Row1.Left.Detent,Vehicle.Body.Bridge.Body.Switches.Window.Local.Row1.Left.Detent,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Window.Local.Row1.Right.Detent,Vehicle.Body.Bridge.Body.Switches.Window.Local.Row1.Right.Detent,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Window.Local.Row2.Left.Detent,Vehicle.Body.Bridge.Body.Switches.Window.Local.Row2.Left.Detent,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Switches.Window.Local.Row2.Right.Detent,Vehicle.Body.Bridge.Body.Switches.Window.Local.Row2.Right.Detent,project-namespace,bridge-internal switch input; no VSS equivalent
Body.Trunk.CloseCmd,Vehicle.Body.Bridge.Body.Trunk.CloseCmd,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Trunk.ExteriorButton.IsPressed,Vehicle.Body.Bridge.Body.Trunk.ExteriorButton.IsPressed,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Trunk.IsLocked,Vehicle.Body.Bridge.Body.Trunk.IsLocked,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Trunk.IsOpen,Vehicle.Body.Bridge.Body.Trunk.IsOpen,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Trunk.OpenCmd,Vehicle.Body.Bridge.Body.Trunk.OpenCmd,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Windshield.Front.Washing.IsActive,Vehicle.Body.Bridge.Body.Windshield.Front.Washing.IsActive,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Windshield.Front.Wiping.Intensity,Vehicle.Body.Windshield.Front.Wiping.Intensity,canonical-with-vehicle-prefix,
Body.Windshield.Front.Wiping.Mode,Vehicle.Body.Windshield.Front.Wiping.Mode,canonical-with-vehicle-prefix,
Body.Windshield.Rear.Washing.IsActive,Vehicle.Body.Bridge.Body.Windshield.Rear.Washing.IsActive,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Windshield.Rear.Wiping.Mode,Vehicle.Body.Windshield.Rear.Wiping.Mode,canonical-with-vehicle-prefix,
Cabin.HVAC.IsAirConditioningActive,Vehicle.Cabin.HVAC.IsAirConditioningActive,canonical-with-vehicle-prefix,
Cabin.HVAC.IsFrontDefrosterActive,Vehicle.Cabin.HVAC.IsFrontDefrosterActive,canonical-with-vehicle-prefix,
Cabin.HVAC.IsRearDefrosterActive,Vehicle.Cabin.HVAC.IsRearDefrosterActive,canonical-with-vehicle-prefix,
Cabin.HVAC.IsRecirculationActive,Vehicle.Cabin.HVAC.IsRecirculationActive,canonical-with-vehicle-prefix,
Cabin.HVAC.Station.Row1.Left.AirDistribution,Vehicle.Body.Bridge.Cabin.HVAC.Station.Row1.Left.AirDistribution,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.HVAC.Station.Row1.Left.FanSpeed,Vehicle.Body.Bridge.Cabin.HVAC.Station.Row1.Left.FanSpeed,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.HVAC.Station.Row1.Left.Temperature,Vehicle.Body.Bridge.Cabin.HVAC.Station.Row1.Left.Temperature,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.HVAC.Station.Row1.Right.AirDistribution,Vehicle.Body.Bridge.Cabin.HVAC.Station.Row1.Right.AirDistribution,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.HVAC.Station.Row1.Right.FanSpeed,Vehicle.Body.Bridge.Cabin.HVAC.Station.Row1.Right.FanSpeed,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.HVAC.Station.Row1.Right.Temperature,Vehicle.Body.Bridge.Cabin.HVAC.Station.Row1.Right.Temperature,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.Lights.Ambient.Color,Vehicle.Body.Bridge.Cabin.Lights.Ambient.Color,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.Lights.Ambient.Intensity,Vehicle.Body.Bridge.Cabin.Lights.Ambient.Intensity,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.Lights.Dome.SwitchPosition,Vehicle.Body.Bridge.Cabin.Lights.Dome.SwitchPosition,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.Lights.IsDomeOn,Vehicle.Body.Bridge.Cabin.Lights.IsDomeOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.Lights.IsGloveBoxOn,Vehicle.Body.Bridge.Cabin.Lights.IsGloveBoxOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.LockStatus,Vehicle.Body.Bridge.Cabin.LockStatus,project-namespace,aggregate or actuator-intent signal; no VSS equivalent
Cabin.LockStatus.EventNum,Vehicle.Body.Bridge.Cabin.LockStatus.EventNum,project-namespace,aggregate or actuator-intent signal; no VSS equivalent
Cabin.LockStatus.LastRequestor,Vehicle.Body.Bridge.Cabin.LockStatus.LastRequestor,project-namespace,aggregate or actuator-intent signal; no VSS equivalent
Cabin.Seat.Row1.Left.HeatingLevel,Vehicle.Body.Bridge.Cabin.Seat.Row1.Left.HeatingLevel,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.Seat.Row1.Left.IsHeatingOn,Vehicle.Body.Bridge.Cabin.Seat.Row1.Left.IsHeatingOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.Seat.Row1.Left.IsVentilationOn,Vehicle.Body.Bridge.Cabin.Seat.Row1.Left.IsVentilationOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.Seat.Row1.Right.HeatingLevel,Vehicle.Body.Bridge.Cabin.Seat.Row1.Right.HeatingLevel,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.Seat.Row1.Right.IsHeatingOn,Vehicle.Body.Bridge.Cabin.Seat.Row1.Right.IsHeatingOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.Seat.Row1.Right.IsVentilationOn,Vehicle.Body.Bridge.Cabin.Seat.Row1.Right.IsVentilationOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Cabin.ValetMode.IsActive,Vehicle.Body.Bridge.Cabin.ValetMode.IsActive,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Chassis.Brake.IsApplied,Vehicle.Body.Bridge.Chassis.Brake.IsApplied,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Chassis.Brake.PedalPosition,Vehicle.Chassis.Brake.PedalPosition,canonical-with-vehicle-prefix,
Chassis.ParkingBrake.IsEngaged,Vehicle.Chassis.ParkingBrake.IsEngaged,canonical-with-vehicle-prefix,
Vehicle.ADAS.HighBeam.OncomingVehicleDetected,Vehicle.Body.Bridge.Vehicle.ADAS.HighBeam.OncomingVehicleDetected,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Vehicle.Body.Alarm.IsActive,Vehicle.Body.Bridge.Vehicle.Body.Alarm.IsActive,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Vehicle.Body.Alarm.State,Vehicle.Body.Bridge.Vehicle.Body.Alarm.State,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Vehicle.Cabin.Infotainment.HMI.DayNightMode,Vehicle.Cabin.Infotainment.HMI.DayNightMode,canonical-as-is,
Vehicle.Chassis.Axle.Row1.Wheel.Left.Tire.IsPressureLow,Vehicle.Chassis.Axle.Row1.Wheel.Left.Tire.IsPressureLow,canonical-as-is,
Vehicle.Chassis.Axle.Row1.Wheel.Right.Tire.IsPressureLow,Vehicle.Chassis.Axle.Row1.Wheel.Right.Tire.IsPressureLow,canonical-as-is,
Vehicle.Chassis.Axle.Row2.Wheel.Left.Tire.IsPressureLow,Vehicle.Chassis.Axle.Row2.Wheel.Left.Tire.IsPressureLow,canonical-as-is,
Vehicle.Chassis.Axle.Row2.Wheel.Right.Tire.IsPressureLow,Vehicle.Chassis.Axle.Row2.Wheel.Right.Tire.IsPressureLow,canonical-as-is,
Vehicle.LowVoltageSystemState,Vehicle.LowVoltageSystemState,canonical-as-is,
Vehicle.Powertrain.Type,Vehicle.Powertrain.Type,canonical-as-is,
Vehicle.Safety.CrashDetected,Vehicle.Body.Bridge.Vehicle.Safety.CrashDetected,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Vehicle.Speed,Vehicle.Speed,canonical-as-is,
Vehicle.Starting.ImmobilizerStatus,Vehicle.Body.Bridge.Vehicle.Starting.ImmobilizerStatus,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
